# sigma8,om0,ode0
8.121996069044098432e-01,3.313272747157953169e-01,7.168998632318226427e-01
8.108089736364272326e-01,3.319650437885653393e-01,7.131802431195749525e-01
8.104201752153029625e-01,3.316119172275286964e-01,7.127936896047700754e-01
8.137335768146216619e-01,3.297518285151629369e-01,7.241265297536843004e-01
8.112450901195213948e-01,3.323411032645065544e-01,7.128111684140742144e-01
8.111749298791502971e-01,3.315349557339775655e-01,7.139471546420106396e-01
8.109019071997711769e-01,3.306868419898117972e-01,7.142424445099332386e-01
8.122784487621027560e-01,3.310970848663745691e-01,7.161650752794165298e-01
8.096054939002934603e-01,3.328516575650918297e-01,7.141898899102373521e-01
8.100425294786226527e-01,3.322584724258672018e-01,7.133556416510952181e-01
8.108526857966549262e-01,3.312124228149435634e-01,7.096847599068477619e-01
8.100692573985712741e-01,3.327374604291627458e-01,7.137596845052450734e-01
8.099622199587372950e-01,3.322581228532283104e-01,7.131374673461828850e-01
8.103028015903466219e-01,3.308781458855524771e-01,7.121659759534614276e-01
8.110702249061543245e-01,3.318602156084098365e-01,7.127048048283652903e-01
8.130920710228207726e-01,3.292544556763203900e-01,7.208802723799326850e-01
8.102872721649475585e-01,3.314099436466899640e-01,7.123729597413648307e-01
8.097671074689414272e-01,3.319827025341700599e-01,7.086050884738078759e-01
8.104166636381425759e-01,3.313649769278783630e-01,7.178215392118576510e-01
8.095852690950248176e-01,3.328675735978356420e-01,7.122555189481213356e-01
8.121996069044098432e-01,3.313272747157953169e-01,7.168998632318226427e-01
8.108089736364272326e-01,3.319650437885653393e-01,7.131802431195749525e-01
8.104201752153029625e-01,3.316119172275286964e-01,7.127936896047700754e-01
8.137335768146216619e-01,3.297518285151629369e-01,7.241265297536843004e-01
8.110647162978936731e-01,3.321285706600006771e-01,7.139020796160723270e-01
8.111749298791502971e-01,3.315349557339775655e-01,7.139471546420106396e-01
8.109852800901304892e-01,3.306593123742458951e-01,7.145334617779817155e-01
8.128729179919775838e-01,3.307068652274766096e-01,7.166043595120283882e-01
8.096054939002934603e-01,3.328516575650918297e-01,7.141898899102373521e-01
8.106161050471285545e-01,3.317098244575698573e-01,7.151450831072139191e-01
8.108526857966549262e-01,3.312124228149435634e-01,7.096847599068477619e-01
8.103856341995047119e-01,3.319582996092814153e-01,7.139431158417826051e-01
8.099630741992878136e-01,3.322581265715810472e-01,7.131397880341736606e-01
8.103028015903466219e-01,3.308781458855524771e-01,7.121659759534614276e-01
8.112016741234904238e-01,3.319598217817507080e-01,7.116756882589683197e-01
8.141504690459063776e-01,3.283290639551588730e-01,7.261715943599524881e-01
8.115536969556894631e-01,3.308006306805049701e-01,7.166920823832734211e-01
8.097671074689414272e-01,3.319827025341700599e-01,7.086050884738078759e-01
8.104166636381425759e-01,3.313649769278783630e-01,7.178215392118576510e-01
8.095852690950248176e-01,3.328675735978356420e-01,7.122555189481213356e-01
8.121996069044098432e-01,3.313272747157953169e-01,7.168998632318226427e-01
8.108089736364272326e-01,3.319650437885653393e-01,7.131802431195749525e-01
8.104201752153029625e-01,3.316119172275286964e-01,7.127936896047700754e-01
8.138371449416309522e-01,3.296936870861099100e-01,7.244807642141736226e-01
8.121973500007430014e-01,3.315673178995289794e-01,7.136786841694738870e-01
8.114296086692938115e-01,3.314552610740296723e-01,7.134012108064572422e-01
8.112192248650129667e-01,3.307174751089353992e-01,7.154218907500266011e-01
