# sigma8,om0
8.102536696732651755e-01,3.411194463003495714e-01
8.104790128434431473e-01,3.412558551738451573e-01
8.116485191690736567e-01,3.391776315030335942e-01
8.101388156391029494e-01,3.411999354443706056e-01
8.101512852145719146e-01,3.409756375577580045e-01
8.099744264058570398e-01,3.408986777011101532e-01
8.101299484956121510e-01,3.410148443191792778e-01
8.100724187900378848e-01,3.410011377905938779e-01
8.107385282687940009e-01,3.401579497495360593e-01
8.103320725002677305e-01,3.412404385605559698e-01
8.101071691869916602e-01,3.409207197518150934e-01
8.103651997051541933e-01,3.403876647490009510e-01
8.100262979312096157e-01,3.409904572824600799e-01
8.100413583960830444e-01,3.412263727804188962e-01
8.101088134156041454e-01,3.407648163687765908e-01
8.100023494828211268e-01,3.406195804070690780e-01
8.100783097464315796e-01,3.409737950911340687e-01
8.099563656026909086e-01,3.411730767658553987e-01
8.099632844218096484e-01,3.411601260841866656e-01
8.105502486002116314e-01,3.412109101670956490e-01
8.102536696732651755e-01,3.411194463003495714e-01
8.108724916681804284e-01,3.412971379879951583e-01
8.116485191690736567e-01,3.391776315030335942e-01
8.101558228736499556e-01,3.411389131362516647e-01
8.101512852145719146e-01,3.409756375577580045e-01
8.099820996081950053e-01,3.409079992593713748e-01
8.101299484956121510e-01,3.410148443191792778e-01
8.100527905288116282e-01,3.409938759906299688e-01
8.107767261122591496e-01,3.401113859134745621e-01
8.105046229754107046e-01,3.412780155777290214e-01
8.101190178796682240e-01,3.408989288448504573e-01
8.104000914482856199e-01,3.402624724554337843e-01
8.102845790566157724e-01,3.410991293817841608e-01
8.100413583960830444e-01,3.412263727804188962e-01
8.097805218421900708e-01,3.403391597073655017e-01
8.100023494828211268e-01,3.406195804070690780e-01
8.100783097464315796e-01,3.409737950911340687e-01
8.099563656026909086e-01,3.411730767658553987e-01
8.101021647913414503e-01,3.411406704700208348e-01
8.105502486002116314e-01,3.412109101670956490e-01
8.102536696732651755e-01,3.411194463003495714e-01
8.108724916681804284e-01,3.412971379879951583e-01
8.117673775669672631e-01,3.390416693037510698e-01
8.101558228736499556e-01,3.411389131362516647e-01
8.103118379284786066e-01,3.408130094856737791e-01
8.100162966255388675e-01,3.409534541144360609e-01
8.101767646782073173e-01,3.409721682294368228e-01
8.100541620385532937e-01,3.409659834162815928e-01
8.106956355553143201e-01,3.391073370652604169e-01
8.105046229754107046e-01,3.412780155777290214e-01
8.101190178796682240e-01,3.408989288448504573e-01
8.106268584752878148e-01,3.399122641974270942e-01
8.101913747659145182e-01,3.410233583216221720e-01
8.100413583960830444e-01,3.412263727804188962e-01
