# sigma8,om0,ode0
8.107495311429794294e-01,3.506736551084454478e-01,6.957479572342781804e-01
8.104594676883606352e-01,3.537727336585718696e-01,6.979866080338644752e-01
8.099712107079847234e-01,3.542721453107829377e-01,6.974969160164133930e-01
8.100588643099746466e-01,3.546253084701340708e-01,6.973274909333160299e-01
8.100225493901415108e-01,3.544693037317051543e-01,6.974016218966145875e-01
8.099836768048344071e-01,3.546318117248504209e-01,6.973501756224208536e-01
8.103179930379581508e-01,3.545879921346959396e-01,6.977157585262550032e-01
8.101088532982902990e-01,3.541429525616262564e-01,6.976432055680645838e-01
8.103119176679071112e-01,3.531733690654694779e-01,6.966935605908977092e-01
8.103313899957145239e-01,3.545098615071658466e-01,6.975959852325376298e-01
8.101502032623848493e-01,3.536363949754618430e-01,6.989237536410229934e-01
