# sigma8,om0
8.099250652398910510e-01,3.288979350110431410e-01
8.109783524131886079e-01,3.282235553348633039e-01
8.097296488152095906e-01,3.292136187522437529e-01
8.102824601978340091e-01,3.281596212790337530e-01
8.173161508728042923e-01,3.218040267383372455e-01
8.097691213109471375e-01,3.280475267010008467e-01
8.106639949032676817e-01,3.278827104379086754e-01
8.099305499507384321e-01,3.286295467236168832e-01
8.100222431510296639e-01,3.270427772133899236e-01
8.097057092027908354e-01,3.285134395909274918e-01
8.094473767667588193e-01,3.290496349668189935e-01
8.112912728368847359e-01,3.273765679100896775e-01
8.107500507128972966e-01,3.270153922696079074e-01
8.087604189523638354e-01,3.299300789662389377e-01
8.104075399922198164e-01,3.277729364417940050e-01
8.109812070035954390e-01,3.284769471700914600e-01
8.101438767218298587e-01,3.285899069085950197e-01
8.102020211473534017e-01,3.277973939764482481e-01
8.101572672613606141e-01,3.291734759012388545e-01
8.100511065906332853e-01,3.282386567771478636e-01
8.099353967365450213e-01,3.288946540284076736e-01
8.113100810725757395e-01,3.280076223797373514e-01
8.099587927423955724e-01,3.288872198281523329e-01
8.102824601978340091e-01,3.281596212790337530e-01
8.173161508728042923e-01,3.218040267383372455e-01
8.097691213109471375e-01,3.280475267010008467e-01
8.106639949032676817e-01,3.278827104379086754e-01
8.099305499507384321e-01,3.286295467236168832e-01
8.097352078213546633e-01,3.280448171528048684e-01
8.098312855616373040e-01,3.284364025061496939e-01
8.094490130225581170e-01,3.290385422536359350e-01
8.112454575916133725e-01,3.273962431824284369e-01
8.111925478449357740e-01,3.263671615117192948e-01
8.087604189523638354e-01,3.299300789662389377e-01
8.104075399922198164e-01,3.277729364417940050e-01
8.117729476540591627e-01,3.281607182037807879e-01
8.105798457351670594e-01,3.281288819852218319e-01
8.102042072210771106e-01,3.277971338252494982e-01
8.127588023650388349e-01,3.264954213703041841e-01
8.100045749920167237e-01,3.282545529981715782e-01
8.094411166518881151e-01,3.290920743328311637e-01
8.113100810725757395e-01,3.280076223797373514e-01
8.100124424551201630e-01,3.288659895926288046e-01
8.101054982055914122e-01,3.285706136822830747e-01
8.195186503269030753e-01,3.198609052009861453e-01
8.097691213109471375e-01,3.280475267010008467e-01
8.106639949032676817e-01,3.278827104379086754e-01
8.100844880097187728e-01,3.290903389523243128e-01
8.097291019456074324e-01,3.280265400606260928e-01
8.106624814197284090e-01,3.272770259076051569e-01
8.094490130225581170e-01,3.290385422536359350e-01
8.112720548420151445e-01,3.276478700734454241e-01
8.110036372288594864e-01,3.269088353134704805e-01
8.090289184995669292e-01,3.295334177542212362e-01
8.114076360401878407e-01,3.271917837789925509e-01
8.117729476540591627e-01,3.281607182037807879e-01
8.108714268786223478e-01,3.279040470172304711e-01
8.102042072210771106e-01,3.277971338252494982e-01
8.132706631796063901e-01,3.261091845775014875e-01
